accX,accY,accZ
1.725,-8.784,0.157
1.725,-8.784,0.314
1.882,-8.627,0.314
1.882,-8.471,0
1.882,-8.627,0
1.725,-8.627,0
1.725,-8.471,0
1.569,-8.627,-0.157
1.412,-8.314,-0.157
1.725,-8.471,-0.314
1.569,-8.314,-0.314
1.569,-8.157,-0.627
1.569,-8.471,-0.627
1.569,-8.157,-0.471
1.412,-8.314,-0.314
1.255,-8.314,-0.471
1.412,-8.471,-0.627
1.098,-8.157,-0.471
1.098,-8.314,-0.471
1.255,-8.471,-0.471
1.098,-8.784,-0.627
0.941,-8.941,-0.471
0.941,-9.255,-0.471
0.941,-9.569,-0.471
1.098,-9.882,-0.627
1.255,-9.882,-0.627
1.255,-10.196,-0.471
1.255,-10.51,-0.471
1.098,-10.353,-0.784
1.098,-10.353,-1.098
0.784,-10.196,-1.255
0.627,-10.196,-1.255
0.471,-9.882,-1.569
0.471,-9.725,-1.569
0.314,-8.784,-1.569
0.471,-8.471,-1.725
0.314,-9.098,-1.412
0.157,-9.882,-1.098
0.157,-12.078,-1.412
0.157,-13.647,-1.725
0.314,-14.275,-1.725
1.255,-14.431,-1.569
1.882,-14.431,-1.098
2.353,-13.02,-0.627
2.667,-12.235,-0.471
3.294,-11.608,0
3.137,-11.765,0.471
2.824,-11.922,0.627
2.667,-11.922,0.941
2.824,-11.922,1.098
2.51,-11.765,1.412
2.196,-11.922,1.412
2.196,-12.235,1.569
1.882,-13.02,1.725
1.725,-13.02,1.569
1.882,-13.49,1.098
1.725,-13.49,0.941
2.353,-12.863,0.784
2.196,-12.235,0.627
2.039,-10.98,0.471
1.882,-10.039,0.157
1.569,-8.941,0
0.941,-8,0.314
0.784,-7.529,0.314
0.627,-6.902,0.471
0.784,-6.588,0.314
1.255,-6.275,0.157
0.784,-5.961,0.471
0.941,-5.961,0.627
1.412,-6.431,0.784
1.569,-6.431,0.784
1.569,-6.902,0.941
2.039,-6.902,1.098
2.667,-7.059,1.255
3.137,-7.686,1.412
3.137,-7.373,1.098
3.451,-8,1.412
3.922,-8.314,1.412
4.078,-8.627,0.941
4.235,-8.784,1.098
4.392,-9.098,1.255
4.392,-9.725,0.941
4.549,-9.569,0.941
4.706,-10.196,0.784
4.863,-10.196,0.784
4.706,-10.353,0.941
5.02,-10.353,1.098
5.49,-10.667,1.255
5.647,-11.137,1.412
5.647,-11.451,1.569
5.804,-11.451,2.039
5.961,-11.765,1.882
6.275,-11.922,1.882
5.961,-12.078,2.196
5.961,-12.235,2.039
5.961,-12.235,1.882
5.49,-11.922,2.039
5.176,-10.98,1.725
4.863,-10.353,1.412
4.235,-9.882,0.941
4.235,-10.196,0.471
4.706,-12.706,0.471
5.333,-16.314,0.627
5.49,-17.255,1.098
5.176,-18.196,1.882
5.02,-17.569,2.039
4.706,-15.843,2.039
4.706,-14.745,2.196
5.02,-13.49,1.569
5.333,-12.863,0.627
5.333,-13.02,0.471
5.333,-13.49,0.157
5.333,-13.49,0.314
5.176,-14.275,0.314
5.02,-14.588,0.157
4.863,-15.059,0.157
4.706,-15.529,-0.314
4.549,-15.686,-0.314
4.235,-15.686,-0.157
3.922,-15.373,0
3.294,-14.431,0.157
3.137,-13.961,0.157
2.667,-12.706,0.627
2.196,-11.294,0.627
1.882,-10.824,0.471
1.569,-9.882,0.627
1.412,-9.569,0.314
1.412,-8.784,0.627
1.255,-8.314,0.471
0.941,-8.471,0
1.098,-8.784,0
1.098,-8.471,0.157
1.412,-8.784,0.157
1.255,-8.627,0.157
1.412,-8.941,0
1.412,-9.098,-0.314
1.569,-8.627,-0.157
1.725,-9.098,-0.314
1.882,-8.941,-0.471
1.725,-9.098,-0.471
1.569,-8.941,-0.471
1.725,-9.098,-0.627
1.725,-8.784,-0.471
1.882,-8.784,-0.627
1.569,-8.941,-0.471
1.725,-8.471,-0.471
1.412,-8.784,-0.627
1.569,-8.941,-0.627
1.255,-8.941,-0.627
0.941,-9.412,-0.314
0.784,-9.412,-0.627
1.255,-9.412,-0.627
1.412,-9.412,-0.784
1.255,-9.098,-0.784
1.255,-9.255,-0.627
0.941,-9.098,-0.784
0.784,-9.255,-1.255
0.471,-9.412,-1.098
0.471,-9.255,-1.569
0.314,-8.941,-1.725
0.314,-8.627,-1.569
0.314,-8.314,-1.882
0.157,-7.843,-1.882
0,-7.686,-2.196
0,-8.314,-1.882
0.314,-10.039,-2.039
0.157,-11.137,-2.51
0.627,-13.49,-2.667
0.784,-14.431,-2.824
1.882,-15.059,-1.882
2.824,-14.118,-1.255
3.451,-13.176,-0.784
3.451,-11.608,-0.314
3.451,-11.608,0.157
3.294,-11.765,0.627
2.98,-12.078,0.471
3.137,-12.235,0.941
3.137,-12.549,1.569
2.98,-12.863,1.725
2.51,-13.49,2.039
1.882,-13.49,2.196
1.255,-13.961,1.882
1.255,-14.118,1.725
1.725,-14.118,1.569
2.196,-13.647,0.784
2.353,-13.333,0.314
2.51,-12.078,0.314
2.667,-11.451,0.157
2.196,-9.882,0.157
1.882,-9.255,0.157
1.255,-7.843,-0.157
0.471,-6.902,0.314
0.314,-6.431,0.784
0.941,-6.275,0.471
0.471,-6.431,1.255
0.314,-6.588,0.941
0.784,-6.745,1.255
1.412,-6.745,1.412
1.882,-7.216,1.569
2.039,-7.216,1.725
2.353,-7.373,1.569
2.51,-7.373,2.039
3.137,-7.216,1.725
3.294,-7.216,1.882
3.765,-7.373,1.569
4.078,-7.529,1.412
4.078,-7.843,1.412
4.078,-8,1.255
3.922,-8,1.255
4.078,-8.471,1.412
4.078,-8.471,1.569
4.078,-8.941,1.255
3.608,-9.255,1.098
3.922,-9.255,1.412
4.078,-9.725,1.412
3.765,-9.882,1.098
4.235,-10.353,1.569
4.235,-10.51,1.412
4.549,-10.98,2.196
4.863,-11.451,2.039
5.02,-11.608,2.51
5.333,-11.922,2.667
5.647,-12.235,2.824
5.647,-12.235,2.667
5.961,-12.235,2.824
5.176,-12.235,2.353
4.706,-11.451,1.569
4.392,-11.294,1.255
4.392,-12.863,0.941
4.863,-14.431,0.784
5.647,-17.882,0.941
5.804,-18.98,2.196
5.333,-19.137,2.353
3.922,-16.784,2.196
3.451,-15.373,1.882
3.294,-13.647,1.255
3.451,-13.02,1.255
3.294,-12.078,0.314
3.294,-12.078,0.314
3.451,-12.235,0.314
3.608,-13.176,0.314
3.922,-13.49,0.314
3.608,-14.118,0.314
3.451,-14.431,0.627
3.451,-14.745,0.627
3.608,-15.059,0.627
3.608,-14.902,0.471
3.922,-14.745,0.157
3.765,-14.745,0.157
3.451,-13.961,0.314
3.608,-13.49,0.314
2.824,-12.235,0.157
2.667,-11.137,0.471
2.51,-10.51,0.471
2.196,-9.725,0.314
2.353,-9.255,0.784
2.039,-8.627,0.627
1.725,-8.627,0.314
1.725,-8.314,0.471
1.725,-8.157,0.471
1.569,-8,0.314
1.569,-7.843,0.314
1.569,-7.843,0.314
1.569,-7.686,0.157
1.569,-7.529,-0.157
1.569,-7.529,-0.157
1.882,-7.216,-0.314
1.725,-7.373,-0.314
1.725,-7.216,-0.314
1.725,-7.059,-0.471
1.882,-6.902,-0.627
1.725,-7.059,-0.471
1.412,-6.902,-0.627
1.255,-6.902,-0.627
1.255,-7.216,-0.627
1.255,-6.902,-0.627
1.255,-7.216,-0.627
1.098,-7.216,-0.627
1.412,-7.843,-0.471
1.255,-8,-0.471
1.569,-8.627,-0.471
1.255,-8.784,-0.627
1.569,-9.569,-0.627
1.412,-9.725,-0.627
1.569,-10.039,-0.627
1.412,-10.196,-0.784
1.569,-10.196,-1.098
1.412,-10.353,-1.412
1.412,-10.196,-1.569
1.098,-9.725,-1.725
0.941,-9.725,-1.569
0.471,-9.412,-1.725
0.471,-9.098,-1.569
0.157,-9.255,-2.039
0.157,-10.51,-2.039
0.314,-11.608,-1.882
0.314,-14.431,-2.039
0.314,-15.843,-2.039
1.255,-17.255,-1.725
1.569,-17.412,-1.412
2.824,-15.216,-0.784
3.137,-12.863,0
3.294,-11.765,0.157
3.294,-11.451,0.314
2.98,-11.608,0.627
2.824,-11.765,0.784
2.51,-11.608,0.941
2.51,-11.451,1.255
1.882,-11.608,1.255
1.569,-11.608,1.255
1.412,-12.078,1.412
1.255,-12.235,1.412
1.412,-12.392,1.412
1.725,-12.549,1.255
2.039,-12.392,0.627
2.039,-11.608,0.314
2.196,-11.137,0.627
1.569,-10.039,0.157
1.412,-9.725,0.314
1.098,-8.314,0.314
0.784,-8.157,0.314
