accX,accY,accZ
4.235,-21.804,-3.922
8.471,-23.686,-2.196
10.824,-25.882,-1.725
15.059,-27.137,-1.412
16.784,-27.922,-0.157
18.51,-28.078,-0.157
21.333,-25.882,0.471
22.588,-24.784,3.137
21.02,-24.784,7.529
20.392,-24.157,9.569
21.176,-22.588,13.333
20.863,-22.588,15.373
19.451,-21.961,18.98
14.745,-21.176,21.804
12.706,-20.706,21.49
10.039,-18.824,19.608
9.725,-18.51,17.725
10.196,-15.373,9.098
12.078,-9.882,-2.667
-14.588,7.059,-51.765
-25.882,6.275,-60.706
-13.176,-48.157,31.686
3.765,-27.137,11.765
7.216,-20.549,0.157
1.098,-9.255,-7.216
1.882,-10.51,-4.392
-0.941,-7.529,-1.098
-2.353,-4.078,-5.333
1.098,-0.471,-3.294
4.078,-2.667,-1.569
9.255,-8.627,-1.882
14.431,-13.647,0.314
5.02,-15.059,-2.196
2.98,-10.353,-1.725
5.961,-12.863,1.255
-0.314,-9.882,-0.471
-0.471,-7.843,0.157
-1.412,-7.373,0.784
-1.412,-7.373,-0.314
0.314,-9.725,-3.137
1.725,-10.353,-2.824
2.51,-9.412,-1.412
2.667,-8.627,-1.725
2.98,-8.471,-2.353
2.51,-8.471,-2.51
2.51,-8.627,-2.353
2.196,-8.941,-2.51
2.196,-8.941,-2.353
2.039,-9.569,-2.196
1.412,-9.569,-1.882
1.412,-9.882,-1.725
1.569,-9.882,-2.039
1.725,-10.196,-2.51
1.725,-9.725,-2.51
1.569,-9.882,-2.51
1.569,-9.725,-1.882
1.569,-9.882,-2.353
1.725,-10.353,-2.196
1.725,-10.196,-2.353
1.569,-10.196,-2.196
1.412,-10.353,-1.882
1.412,-10.196,-2.353
2.51,-9.725,-2.98
1.882,-10.667,-1.882
1.098,-11.137,-0.471
0.627,-11.294,-0.941
0.627,-10.824,-1.412
1.255,-11.137,-1.569
2.353,-11.608,-1.725
2.353,-11.922,-1.098
2.196,-12.235,-0.941
1.882,-12.392,-1.098
2.196,-12.706,-1.882
2.667,-13.176,-2.51
2.98,-13.333,-2.51
2.353,-14.118,-2.51
2.039,-13.647,-2.667
1.725,-14.431,-2.353
1.725,-14.588,-2.51
1.412,-15.059,-3.451
1.569,-14.902,-4.078
2.51,-15.843,-6.118
2.98,-16.314,-7.529
2.51,-18.039,-8
0.627,-21.02,-8.941
0.471,-21.49,-10.353
0.314,-22.902,-11.137
-0.471,-23.529,-11.608
-1.412,-25.412,-11.922
-2.667,-26.353,-12.549
-2.196,-25.569,-8
-1.255,-24.157,-6.745
-2.039,-20.235,-8.314
-1.725,-15.373,-10.353
-0.627,-11.451,-10.98
7.686,-7.529,-6.902
8.314,-7.059,-5.804
4.863,-13.176,-5.961
5.961,-10.039,-2.039
-0.941,3.294,-10.039
-1.255,2.196,-6.902
-0.471,-6.275,-4.863
-2.824,0.157,-8.471
