accX,accY,accZ
-2.039,-13.49,-1.098
-0.784,-13.804,0.471
0.314,-13.49,1.255
1.725,-12.549,1.255
2.51,-11.608,0.784
2.98,-10.039,0.314
3.137,-9.098,-0.314
3.451,-7.686,-0.784
3.608,-6.431,-1.255
3.451,-5.961,-1.725
3.608,-5.176,-1.569
3.608,-4.549,-1.882
2.98,-3.451,-1.882
2.667,-2.98,-2.039
2.196,-2.196,-2.196
1.412,-1.569,-2.353
0.941,-1.255,-1.725
0.157,-1.569,-1.725
0,-1.725,-1.569
-0.627,-2.51,-1.098
-0.471,-2.98,-0.627
-0.471,-3.294,-0.471
0,-4.235,-0.157
0,-4.706,-0.157
0.157,-5.333,-0.157
0.157,-6.745,-0.627
0.157,-7.529,-0.627
0.314,-8.314,-1.098
0.471,-8.784,-1.725
0.314,-9.569,-1.725
0.157,-9.882,-2.039
-0.314,-10.196,-2.196
-0.941,-11.137,-1.882
-1.569,-11.608,-1.255
-1.412,-13.333,0.314
-1.412,-14.118,0.784
0,-16.157,1.569
0.314,-16.627,1.098
0.157,-16.157,0.314
-0.471,-15.059,-3.294
-0.314,-14.431,-5.961
-0.314,-13.647,-8.157
-1.255,-13.647,-8.471
-2.824,-13.804,-9.569
-4.706,-14.431,-11.137
-5.176,-14.431,-11.608
-5.961,-14.902,-11.137
-5.02,-15.216,-10.039
-2.196,-14.431,-8.157
-0.471,-12.863,-8.314
0.314,-12.078,-8.157
3.137,-10.98,-6.431
4.078,-10.51,-5.647
6.275,-9.882,-4.706
7.529,-9.098,-4.706
7.373,-8.784,-5.02
7.216,-9.098,-5.804
6.745,-9.882,-5.961
4.863,-11.451,-4.392
4.549,-12.235,-3.137
3.922,-13.333,-1.725
3.137,-13.333,-0.784
2.824,-12.863,-0.471
1.098,-11.137,-0.941
0.314,-10.196,-1.255
-0.314,-8.314,-2.196
-0.627,-6.902,-1.882
-0.941,-6.275,-2.039
-0.471,-5.176,-2.039
-0.157,-5.176,-1.569
0.314,-4.706,-0.784
0.627,-4.549,-0.627
0.784,-3.765,-0.627
1.255,-2.98,-0.314
1.412,-2.824,-0.314
1.569,-2.51,0.157
1.569,-2.353,0
1.412,-2.196,-0.471
0.941,-2.196,-0.471
0.784,-2.353,-0.627
0.784,-2.51,-0.941
0.784,-3.137,-0.941
0.471,-3.765,-0.784
0.784,-4.078,-1.255
0.784,-4.863,-1.255
0.471,-6.431,-1.725
0.157,-7.059,-1.882
0,-7.843,-1.255
0,-8.314,-0.784
0.157,-9.255,0.157
0.941,-10.51,1.098
1.569,-11.137,1.098
2.824,-13.333,0.941
3.294,-14.588,0.471
3.922,-17.412,0.627
2.98,-18.51,0.471
2.667,-18.196,-0.157
2.353,-16.157,-3.922
2.98,-15.216,-6.588
3.608,-14.275,-10.353
4.078,-14.588,-11.294
5.333,-15.686,-10.98
5.804,-16.784,-10.667
6.431,-17.412,-10.51
7.529,-17.725,-9.098
8.157,-17.255,-7.373
6.431,-14.275,-5.961
4.078,-11.765,-5.647
3.137,-10.98,-5.176
0.941,-9.255,-4.235
-0.314,-8.157,-3.765
-3.294,-6.902,-3.765
-5.961,-5.961,-4.549
-4.549,-5.176,-5.02
-5.02,-6.431,-5.49
-4.863,-7.216,-5.647
-4.392,-8.784,-4.549
-3.765,-9.882,-3.922
-2.196,-10.98,-1.412
0.314,-11.608,0.157
1.098,-11.765,0.314
2.196,-11.451,-0.157
3.137,-11.137,-0.471
3.608,-10.196,-0.784
4.078,-9.412,-0.941
3.608,-8.784,-1.098
3.608,-7.843,-1.412
3.294,-7.373,-1.725
3.451,-6.588,-2.039
2.98,-5.333,-2.51
2.667,-4.706,-2.51
2.196,-3.608,-2.667
1.725,-3.294,-2.824
1.255,-2.667,-2.98
0.784,-2.51,-2.824
0.157,-2.824,-2.196
0.157,-2.98,-1.412
-0.157,-3.608,-0.941
-0.157,-3.608,-0.314
-0.157,-3.922,-0.157
0,-4.235,-0.314
0.157,-4.549,-0.314
0.471,-4.706,-0.157
0.784,-5.49,-0.314
0.627,-6.118,-0.157
0.627,-7.529,-0.471
0.627,-7.843,-1.255
0.627,-8.471,-1.882
0,-8.941,-2.039
-0.314,-9.412,-1.569
-1.412,-10.353,-0.627
-1.569,-11.294,-0.471
-1.725,-13.49,1.098
-0.941,-16.157,2.353
-0.471,-16.471,2.667
-0.157,-16.157,0.627
-0.471,-15.529,-1.255
-1.098,-14.745,-6.118
-1.725,-14.745,-9.882
-2.039,-15.059,-10.824
-2.98,-16,-11.608
-4.078,-15.843,-12.235
-6.431,-16.314,-12.392
-7.059,-16.627,-11.765
-4.235,-16.157,-8.627
-2.51,-14.745,-8.157
-1.569,-14.275,-8.627
0.784,-13.02,-8.314
1.882,-12.706,-7.216
5.02,-11.451,-5.804
7.059,-10.196,-5.176
7.373,-9.412,-5.176
7.059,-8.471,-6.118
6.902,-8.157,-6.588
6.118,-9.725,-6.118
3.922,-10.98,-4.078
3.922,-11.765,-3.294
3.608,-12.235,-2.039
3.451,-12.235,-1.255
2.196,-11.137,-0.314
1.882,-10.196,-0.157
0.314,-8.471,-1.255
-0.471,-6.745,-1.882
-1.412,-6.431,-2.196
-0.941,-5.176,-2.039
-0.941,-4.706,-1.882
-0.314,-4.706,-1.569
0.157,-4.706,-1.098
0.157,-4.549,-0.941
0.471,-4.078,-1.412
0.941,-3.765,-0.941
0.784,-3.137,-0.627
0.941,-2.667,-0.314
0.627,-2.51,-0.627
0.784,-2.353,-0.471
0.784,-2.196,-0.627
0.627,-2.51,-0.314
0.471,-2.667,-0.314
0.471,-3.137,-0.314
0.314,-4.078,-0.314
0.471,-4.235,-0.314
0.314,-5.176,-0.784
0.471,-5.49,-0.784
